Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,Time_Level1,PathLength_Level2,NodesExplored_Level2,Time_Level2,PathLength_Level3,NodesExplored_Level3,Time_Level3,PathLength_AStar,NodesExplored_AStar,Time_AStar
81,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,153,0
82,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,1,0,0,1,0,1,0
83,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,2,0,0,3,0,1,0
84,density,numberOfCheckPoints,cellularIterations,height,width,21,19,1,28,26,2,28,26,2,19,19,0
85,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
86,density,numberOfCheckPoints,cellularIterations,height,width,21,19,1,28,26,1,35,30,2,19,19,0
87,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
88,density,numberOfCheckPoints,cellularIterations,height,width,121,109,3,134,122,11,134,122,6,107,837,3
89,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,51,0
90,density,numberOfCheckPoints,cellularIterations,height,width,0,0,1,0,0,1,0,0,1,0,6311,27
91,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,207,0
92,density,numberOfCheckPoints,cellularIterations,height,width,21,19,1,36,39,1,33,28,2,19,19,0
93,density,numberOfCheckPoints,cellularIterations,height,width,21,19,1,28,26,2,28,26,2,19,19,0
94,density,numberOfCheckPoints,cellularIterations,height,width,21,19,0,32,30,1,52,48,4,19,19,0
95,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
96,density,numberOfCheckPoints,cellularIterations,height,width,21,19,0,28,26,2,28,26,2,19,19,0
97,density,numberOfCheckPoints,cellularIterations,height,width,21,19,0,57,53,3,46,42,3,19,19,0
98,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,1,0,0,2,0,1,0
99,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
100,density,numberOfCheckPoints,cellularIterations,height,width,0,0,0,0,0,0,0,0,0,0,1,0
